"ID ";"Business line";"Ad channel";"Revenues";"Costs";"Country";"Currency";"Date";"Client";"Points of sale";"Connected points"
"006/19";"ADVERTISING";"Canal Azul";473164;307557;"IT";"EUR";02/10/2013;"TU.L.U.";5;29
"007/18";"HARDWARE";;4;4;"ES";"EUR";05/10/2012;"DI S.A.";3;5
"007/18";"INSTALLATION";;4;4;"ES";"EUR";05/10/2012;"DI S.A.";7;11
"007/18";"MAINTENANCE";;4;4;"ES";"EUR";05/10/2012;"DI S.A.";6;15
"007/18";"SOFTWARE";;4;2;"ES";"EUR";05/10/2012;"DI S.A.";8;30
"007/18";"CONTENT";;571072;285536;"ES";"EUR";05/10/2012;"DI S.A.";9;27
"007/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";05/10/2012;"DI S.A.";9;9
"007/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";05/10/2012;"DI S.A.";5;19
"007/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";05/10/2012;"DI S.A.";7;22
"007/19";"ADVERTISING";"Canal Azul";12968;8429;"CO";"Peso CO";02/10/2013;"INOCIÓN";5;5
"008/18";"HARDWARE";;4;4;"ES";"EUR";05/10/2012;"DI S.A.";4;6
"008/18";"INSTALLATION";;4;4;"ES";"EUR";05/10/2012;"DI S.A.";1;20
"008/18";"MAINTENANCE";;4;4;"ES";"EUR";05/10/2012;"DI S.A.";4;18
"008/18";"SOFTWARE";;4;2;"ES";"EUR";05/10/2012;"DI S.A.";1;5
"008/18";"CONTENT";;64158;32079;"ES";"EUR";05/10/2012;"DI S.A.";5;19
"008/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";05/10/2012;"DI S.A.";9;17
"008/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";05/10/2012;"DI S.A.";6;29
"008/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";05/10/2012;"DI S.A.";10;10
"008/19";"ADVERTISING";"Canal Azul";50734;32977;"MX";"Peso MX";02/10/2013;"ASESTOS";5;17
"009/18";"HARDWARE";;116141;113818;"ES";"EUR";04/10/2012;"CO S.A.";5;10
"009/18";"INSTALLATION";;8874;8164;"ES";"EUR";04/10/2012;"CO S.A.";5;13
"009/18";"MAINTENANCE";;67218;60496;"ES";"EUR";04/10/2012;"CO S.A.";6;18
"009/18";"SOFTWARE";;16306;8153;"ES";"EUR";04/10/2012;"CO S.A.";1;13
"009/18";"CONTENT";;5999;3000;"ES";"EUR";04/10/2012;"CO S.A.";5;30
"009/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";04/10/2012;"CO S.A.";5;10
"009/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";04/10/2012;"CO S.A.";8;26
"009/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";04/10/2012;"CO S.A.";4;12
"009/19";"ADVERTISING";"Canal Azul";22090;14358;"IT";"EUR";08/10/2013;"NOLONSO";6;27
"010/18";"HARDWARE";;116141;113818;"ES";"EUR";05/10/2012;"CO S.A.";6;17
"010/18";"INSTALLATION";;8874;8164;"ES";"EUR";05/10/2012;"CO S.A.";6;30
"010/18";"MAINTENANCE";;67218;60496;"ES";"EUR";05/10/2012;"CO S.A.";5;11
"010/18";"SOFTWARE";;16306;8153;"ES";"EUR";05/10/2012;"CO S.A.";6;15
"010/18";"CONTENT";;5999;3000;"ES";"EUR";05/10/2012;"CO S.A.";3;15
"010/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";05/10/2012;"CO S.A.";1;24
"010/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";05/10/2012;"CO S.A.";4;7
"010/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";05/10/2012;"CO S.A.";8;20
"010/19";"CONTENT";;154751769;77375884;"ES";"EUR";08/10/2013;"RE.L.U.";7;8
"011/18";"HARDWARE";;116141;113818;"ES";"EUR";09/10/2012;"CO S.A.";6;9
"011/18";"INSTALLATION";;8874;8164;"ES";"EUR";09/10/2012;"CO S.A.";2;17
"011/18";"MAINTENANCE";;67218;60496;"ES";"EUR";09/10/2012;"CO S.A.";4;10
"011/18";"SOFTWARE";;16306;8153;"ES";"EUR";09/10/2012;"CO S.A.";10;12
"011/18";"CONTENT";;5999;3000;"ES";"EUR";09/10/2012;"CO S.A.";3;9
"011/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";09/10/2012;"CO S.A.";1;10
"011/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";09/10/2012;"CO S.A.";10;12
"011/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";09/10/2012;"CO S.A.";10;18
"011/19";"SOFTWARE";;59168;29584;"ES";"EUR";08/10/2013;"RE.L.U.";8;9
"012/18";"HARDWARE";;4;4;"CO";"Peso CO";09/10/2012;"PO.A.U.";4;22
"012/18";"INSTALLATION";;4;4;"CO";"Peso CO";09/10/2012;"PO.A.U.";1;11
"012/18";"MAINTENANCE";;4;4;"CO";"Peso CO";09/10/2012;"PO.A.U.";10;16
"012/18";"SOFTWARE";;4;2;"CO";"Peso CO";09/10/2012;"PO.A.U.";6;24
"012/18";"CONTENT";;16306;8153;"CO";"Peso CO";09/10/2012;"PO.A.U.";2;23
"012/18";"ADVERTISING";"Canal Azul";4;3;"CO";"Peso CO";09/10/2012;"PO.A.U.";9;29
"012/18";"ADVERTISING";"Canal Verde";4;3;"CO";"Peso CO";09/10/2012;"PO.A.U.";6;21
"012/18";"ADVERTISING";"Canal Rojo";4;3;"CO";"Peso CO";09/10/2012;"PO.A.U.";8;14
"012/19";"HARDWARE";;793937;778058;"ES";"EUR";15/10/2013;"CO S.A.";3;23
"013/18";"HARDWARE";;4;4;"CO";"Peso CO";09/10/2012;"PO.A.U.";2;25
"013/18";"INSTALLATION";;4;4;"CO";"Peso CO";09/10/2012;"PO.A.U.";9;11
"013/18";"MAINTENANCE";;4;4;"CO";"Peso CO";09/10/2012;"PO.A.U.";6;13
"013/18";"SOFTWARE";;4;2;"CO";"Peso CO";09/10/2012;"PO.A.U.";8;30
"013/18";"CONTENT";;5505812;2752906;"CO";"Peso CO";09/10/2012;"PO.A.U.";5;15
"013/18";"ADVERTISING";"Canal Azul";4;3;"CO";"Peso CO";09/10/2012;"PO.A.U.";5;27
"013/18";"ADVERTISING";"Canal Verde";4;3;"CO";"Peso CO";09/10/2012;"PO.A.U.";1;15
"013/18";"ADVERTISING";"Canal Rojo";4;3;"CO";"Peso CO";09/10/2012;"PO.A.U.";7;12
"013/19";"HARDWARE";;793937;778058;"ES";"EUR";15/10/2013;"CO S.A.";2;15
"014/18";"HARDWARE";;116141;113818;"ES";"EUR";10/10/2012;"CO S.A.";4;26
"014/18";"INSTALLATION";;8874;8164;"ES";"EUR";10/10/2012;"CO S.A.";5;27
"014/18";"MAINTENANCE";;67218;60496;"ES";"EUR";10/10/2012;"CO S.A.";6;17
"014/18";"SOFTWARE";;16306;8153;"ES";"EUR";10/10/2012;"CO S.A.";2;7
"014/18";"CONTENT";;5999;3000;"ES";"EUR";10/10/2012;"CO S.A.";9;15
"014/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";10/10/2012;"CO S.A.";2;16
"014/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";10/10/2012;"CO S.A.";7;22
"014/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";10/10/2012;"CO S.A.";2;20
"014/19";"HARDWARE";;585885;574168;"ES";"EUR";15/10/2013;"CO S.A.";3;24
"014/19";"INSTALLATION";;16306;15001;"ES";"EUR";15/10/2013;"CO S.A.";5;28
"015/18";"HARDWARE";;116141;113818;"ES";"EUR";10/10/2012;"CO S.A.";3;18
"015/18";"INSTALLATION";;8874;8164;"ES";"EUR";10/10/2012;"CO S.A.";2;21
"015/18";"MAINTENANCE";;67218;60496;"ES";"EUR";10/10/2012;"CO S.A.";7;25
"015/18";"SOFTWARE";;16306;8153;"ES";"EUR";10/10/2012;"CO S.A.";7;18
"015/18";"CONTENT";;5999;3000;"ES";"EUR";10/10/2012;"CO S.A.";6;15
"015/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";10/10/2012;"CO S.A.";8;9
"015/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";10/10/2012;"CO S.A.";8;13
"015/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";10/10/2012;"CO S.A.";8;30
"015/19";"HARDWARE";;585885;574168;"ES";"EUR";15/10/2013;"CO S.A.";2;30
"015/19";"INSTALLATION";;16306;15001;"ES";"EUR";15/10/2013;"CO S.A.";2;2
"016/18";"HARDWARE";;116141;113818;"ES";"EUR";11/10/2012;"CO S.A.";10;11
"016/18";"INSTALLATION";;8874;8164;"ES";"EUR";11/10/2012;"CO S.A.";8;13
"016/18";"MAINTENANCE";;67218;60496;"ES";"EUR";11/10/2012;"CO S.A.";2;19
"016/18";"SOFTWARE";;16306;8153;"ES";"EUR";11/10/2012;"CO S.A.";7;16
"016/18";"CONTENT";;5999;3000;"ES";"EUR";11/10/2012;"CO S.A.";9;21
"016/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";11/10/2012;"CO S.A.";6;26
"016/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";11/10/2012;"CO S.A.";5;27
"016/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";11/10/2012;"CO S.A.";10;16
"016/19";"HARDWARE";;5381621;5273988;"MX";"Peso MX";15/10/2013;"MATIONS";3;29
"017/18";"HARDWARE";;116141;113818;"ES";"EUR";16/10/2012;"CO S.A.";5;19
"017/18";"INSTALLATION";;8874;8164;"ES";"EUR";16/10/2012;"CO S.A.";2;3
"017/18";"MAINTENANCE";;67218;60496;"ES";"EUR";16/10/2012;"CO S.A.";10;27
"017/18";"SOFTWARE";;16306;8153;"ES";"EUR";16/10/2012;"CO S.A.";7;11
"017/18";"CONTENT";;5999;3000;"ES";"EUR";16/10/2012;"CO S.A.";1;2
"017/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";16/10/2012;"CO S.A.";8;13
"017/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";16/10/2012;"CO S.A.";3;7
"017/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";16/10/2012;"CO S.A.";10;10
"017/19";"SOFTWARE";;17;9;"CO";"Peso CO";15/10/2013;"TR S.L.";4;22
"018/19";"ADVERTISING";"Canal Azul";25311;16452;"IT";"EUR";15/10/2013;"LIVAREZ";6;11
"019/18";"HARDWARE";;15603448;15291379;"ES";"EUR";17/10/2012;"DI S.A.";7;16
"019/18";"INSTALLATION";;4;4;"ES";"EUR";17/10/2012;"DI S.A.";1;23
"019/18";"MAINTENANCE";;4;4;"ES";"EUR";17/10/2012;"DI S.A.";2;18
"019/18";"SOFTWARE";;4;2;"ES";"EUR";17/10/2012;"DI S.A.";2;21
"019/18";"CONTENT";;4;2;"ES";"EUR";17/10/2012;"DI S.A.";3;13
"019/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";17/10/2012;"DI S.A.";7;11
"019/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";17/10/2012;"DI S.A.";2;11
"019/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";17/10/2012;"DI S.A.";9;24
"019/19";"ADVERTISING";"Canal Azul";128135;83288;"ES";"EUR";15/10/2013;"ESGESTA";8;27
"020/18";"HARDWARE";;116141;113818;"ES";"EUR";17/10/2012;"CO S.A.";7;20
"020/18";"INSTALLATION";;8874;8164;"ES";"EUR";17/10/2012;"CO S.A.";7;30
"020/18";"MAINTENANCE";;67218;60496;"ES";"EUR";17/10/2012;"CO S.A.";7;14
"020/18";"SOFTWARE";;16306;8153;"ES";"EUR";17/10/2012;"CO S.A.";1;16
"020/18";"CONTENT";;5999;3000;"ES";"EUR";17/10/2012;"CO S.A.";8;23
"020/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";17/10/2012;"CO S.A.";3;13
"020/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";17/10/2012;"CO S.A.";7;29
"020/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";17/10/2012;"CO S.A.";5;6
"020/19";"HARDWARE";;350954;343934;"CO";"Peso CO";16/10/2013;"DRGROÑO";10;30
"020/19";"INSTALLATION";;16306;15001;"CO";"Peso CO";16/10/2013;"DRGROÑO";6;24
"020/19";"CONTENT";;313797;156899;"CO";"Peso CO";16/10/2013;"DRGROÑO";8;15
"021/18";"HARDWARE";;116141;113818;"ES";"EUR";18/10/2012;"CO S.A.";7;12
"021/18";"INSTALLATION";;8874;8164;"ES";"EUR";18/10/2012;"CO S.A.";4;6
"021/18";"MAINTENANCE";;67218;60496;"ES";"EUR";18/10/2012;"CO S.A.";2;21
"021/18";"SOFTWARE";;16306;8153;"ES";"EUR";18/10/2012;"CO S.A.";5;17
"021/18";"CONTENT";;5999;3000;"ES";"EUR";18/10/2012;"CO S.A.";9;27
"021/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";18/10/2012;"CO S.A.";4;9
"021/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";18/10/2012;"CO S.A.";8;11
"021/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";18/10/2012;"CO S.A.";8;15
"021/19";"HARDWARE";;585885;574168;"ES";"EUR";22/10/2013;"CO S.A.";6;13
"021/19";"INSTALLATION";;16306;15001;"ES";"EUR";22/10/2013;"CO S.A.";4;20
"022/19";"HARDWARE";;793937;778058;"ES";"EUR";22/10/2013;"CO S.A.";6;6
"023/18";"HARDWARE";;15603448;15291379;"ES";"EUR";19/10/2012;"DI S.A.";6;15
"023/18";"INSTALLATION";;4;4;"ES";"EUR";19/10/2012;"DI S.A.";8;29
"023/18";"MAINTENANCE";;4;4;"ES";"EUR";19/10/2012;"DI S.A.";5;19
"023/18";"SOFTWARE";;4;2;"ES";"EUR";19/10/2012;"DI S.A.";8;21
"023/18";"CONTENT";;4;2;"ES";"EUR";19/10/2012;"DI S.A.";5;25
"023/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";19/10/2012;"DI S.A.";7;19
"023/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";19/10/2012;"DI S.A.";2;6
"023/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";19/10/2012;"DI S.A.";3;9
"023/19";"HARDWARE";;351450;344421;"MX";"Peso MX";22/10/2013;"FO S.L.";6;18
"023/19";"INSTALLATION";;377634;347423;"MX";"Peso MX";22/10/2013;"FO S.L.";3;20
"024/18";"HARDWARE";;116141;113818;"ES";"EUR";18/10/2012;"CO S.A.";6;12
"024/18";"INSTALLATION";;8874;8164;"ES";"EUR";18/10/2012;"CO S.A.";9;25
"024/18";"MAINTENANCE";;67218;60496;"ES";"EUR";18/10/2012;"CO S.A.";4;22
"024/18";"SOFTWARE";;16306;8153;"ES";"EUR";18/10/2012;"CO S.A.";3;10
"024/18";"CONTENT";;5999;3000;"ES";"EUR";18/10/2012;"CO S.A.";2;7
"024/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";18/10/2012;"CO S.A.";3;27
"024/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";18/10/2012;"CO S.A.";9;28
"024/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";18/10/2012;"CO S.A.";1;25
"024/19";"HARDWARE";;54381;53293;"MX";"Peso MX";22/10/2013;"FO S.L.";8;24
"024/19";"INSTALLATION";;160089;147282;"MX";"Peso MX";22/10/2013;"FO S.L.";1;22
"025/18";"HARDWARE";;116141;113818;"ES";"EUR";18/10/2012;"CO S.A.";9;13
"025/18";"INSTALLATION";;8874;8164;"ES";"EUR";18/10/2012;"CO S.A.";3;24
"025/18";"MAINTENANCE";;67218;60496;"ES";"EUR";18/10/2012;"CO S.A.";2;4
"025/18";"SOFTWARE";;16306;8153;"ES";"EUR";18/10/2012;"CO S.A.";4;13
"025/18";"CONTENT";;5999;3000;"ES";"EUR";18/10/2012;"CO S.A.";3;13
"025/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";18/10/2012;"CO S.A.";1;25
"025/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";18/10/2012;"CO S.A.";8;20
"025/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";18/10/2012;"CO S.A.";5;5
"025/19";"HARDWARE";;31959;31320;"IT";"EUR";22/10/2013;"FO S.L.";8;10
"025/19";"INSTALLATION";;16688;15353;"IT";"EUR";22/10/2013;"FO S.L.";10;19
"026/18";"HARDWARE";;113305;111039;"ES";"EUR";22/10/2012;"CO S.A.";5;24
"026/18";"INSTALLATION";;8102;7454;"ES";"EUR";22/10/2012;"CO S.A.";10;20
"026/18";"MAINTENANCE";;65064;58558;"ES";"EUR";22/10/2012;"CO S.A.";8;17
"026/18";"SOFTWARE";;15254;7627;"ES";"EUR";22/10/2012;"CO S.A.";7;30
"026/18";"CONTENT";;5368;2684;"ES";"EUR";22/10/2012;"CO S.A.";3;7
"026/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";22/10/2012;"CO S.A.";9;18
"026/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";22/10/2012;"CO S.A.";8;29
"026/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";22/10/2012;"CO S.A.";3;22
"026/19";"HARDWARE";;25578;25066;"ES";"EUR";22/10/2013;"FO S.L.";5;30
"026/19";"INSTALLATION";;15105;13897;"ES";"EUR";22/10/2013;"FO S.L.";10;25
"027/18";"HARDWARE";;116141;113818;"ES";"EUR";22/10/2012;"CO S.A.";9;27
"027/18";"INSTALLATION";;52128;47958;"ES";"EUR";22/10/2012;"CO S.A.";10;20
"027/18";"MAINTENANCE";;67218;60496;"ES";"EUR";22/10/2012;"CO S.A.";5;15
"027/18";"SOFTWARE";;16306;8153;"ES";"EUR";22/10/2012;"CO S.A.";2;23
"027/18";"CONTENT";;5999;3000;"ES";"EUR";22/10/2012;"CO S.A.";4;21
"027/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";22/10/2012;"CO S.A.";8;14
"027/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";22/10/2012;"CO S.A.";6;12
"027/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";22/10/2012;"CO S.A.";6;19
"027/19";"HARDWARE";;585885;574168;"ES";"EUR";28/10/2013;"CO S.A.";2;8
"027/19";"INSTALLATION";;16306;15001;"ES";"EUR";28/10/2013;"CO S.A.";3;22
"028/18";"HARDWARE";;15570390;15258982;"CO";"Peso CO";22/10/2012;"CA S.A.";4;15
"028/18";"INSTALLATION";;4;4;"CO";"Peso CO";22/10/2012;"CA S.A.";3;14
"028/18";"MAINTENANCE";;4;4;"CO";"Peso CO";22/10/2012;"CA S.A.";4;15
"028/18";"SOFTWARE";;4;2;"CO";"Peso CO";22/10/2012;"CA S.A.";8;18
"028/18";"CONTENT";;4;2;"CO";"Peso CO";22/10/2012;"CA S.A.";3;23
"028/18";"ADVERTISING";"Canal Azul";4;3;"CO";"Peso CO";22/10/2012;"CA S.A.";9;19
"028/18";"ADVERTISING";"Canal Verde";4;3;"CO";"Peso CO";22/10/2012;"CA S.A.";1;5
"028/18";"ADVERTISING";"Canal Rojo";4;3;"CO";"Peso CO";22/10/2012;"CA S.A.";8;24
"028/19";"HARDWARE";;585885;574168;"ES";"EUR";29/10/2013;"CO S.A.";10;22
"028/19";"INSTALLATION";;16306;15001;"ES";"EUR";29/10/2013;"CO S.A.";8;8
"029/18";"HARDWARE";;15603448;15291379;"ES";"EUR";22/10/2012;"DI S.A.";4;7
"029/18";"INSTALLATION";;4;4;"ES";"EUR";22/10/2012;"DI S.A.";9;16
"029/18";"MAINTENANCE";;4;4;"ES";"EUR";22/10/2012;"DI S.A.";6;24
"029/18";"SOFTWARE";;4;2;"ES";"EUR";22/10/2012;"DI S.A.";10;27
"029/18";"CONTENT";;4;2;"ES";"EUR";22/10/2012;"DI S.A.";9;27
"029/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";22/10/2012;"DI S.A.";7;30
"029/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";22/10/2012;"DI S.A.";1;8
"029/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";22/10/2012;"DI S.A.";8;24
"029/19";"HARDWARE";;40049;39248;"MX";"Peso MX";30/10/2013;"MOORBAN";9;24
"029/19";"INSTALLATION";;51514;47393;"MX";"Peso MX";30/10/2013;"MOORBAN";2;18
"029/19";"MAINTENANCE";;9353;8418;"MX";"Peso MX";30/10/2013;"MOORBAN";3;20
"029/19";"SOFTWARE";;4211;2106;"MX";"Peso MX";30/10/2013;"MOORBAN";4;23
"030/18";"HARDWARE";;4;4;"ES";"EUR";22/10/2012;"DI S.A.";6;20
"030/18";"INSTALLATION";;4;4;"ES";"EUR";22/10/2012;"DI S.A.";10;17
"030/18";"MAINTENANCE";;4;4;"ES";"EUR";22/10/2012;"DI S.A.";4;24
"030/18";"SOFTWARE";;4;2;"ES";"EUR";22/10/2012;"DI S.A.";6;14
"030/18";"CONTENT";;21421716;10710858;"ES";"EUR";22/10/2012;"DI S.A.";3;20
"030/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";22/10/2012;"DI S.A.";1;27
"030/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";22/10/2012;"DI S.A.";8;25
"030/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";22/10/2012;"DI S.A.";4;15
"030/19";"HARDWARE";;39050;38269;"IT";"EUR";30/10/2013;"ALACION";8;17
"030/19";"INSTALLATION";;51514;47393;"IT";"EUR";30/10/2013;"ALACION";3;6
"030/19";"MAINTENANCE";;9353;8418;"IT";"EUR";30/10/2013;"ALACION";9;20
"030/19";"SOFTWARE";;4211;2106;"IT";"EUR";30/10/2013;"ALACION";3;7
"031/18";"HARDWARE";;116141;113818;"ES";"EUR";22/10/2012;"CO S.A.";6;23
"031/18";"INSTALLATION";;8874;8164;"ES";"EUR";22/10/2012;"CO S.A.";8;9
